env.step/dt,env.step/fps,env.step/psps,env.step/total_steps,env.step/cpu_mem_use,env.step/gpu_mem_use,env.step+env.reset/dt,env.step+env.reset/fps,env.step+env.reset/psps,env.step+env.reset/total_steps,env.step+env.reset/cpu_mem_use,env.step+env.reset/gpu_mem_use,env_id,obs_mode,num_envs,control_mode,gpu_type,num_cameras,camera_width,camera_height
2.294811725616455,13944.499081467717,435.7655962958661,1000,2175221760,3733061632,2.298159122467041,13924.18814135396,435.1308794173113,1000,2175418368,3716546560,CartpoleBalanceBenchmark-v1,rgb,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,224.0,224.0
2.340644121170044,13671.450397168366,427.2328249115114,1000,2171039744,3719495680,2.349213123321533,13621.582342752905,425.6744482110283,1000,2171236352,3729457152,CartpoleBalanceBenchmark-v1,rgb,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,256.0,256.0
3.611340761184693,8860.97494424826,276.90546700775815,1000,2353590272,4018208768,3.6619231700897217,8738.577658147853,273.0805518171204,1000,2353786880,4003069952,CartpoleBalanceBenchmark-v1,rgb,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,512.0,512.0
2.629293203353882,24341.142295717604,380.3303483705876,1000,2224263168,3882090496,2.653843879699707,24115.962694550763,376.81191710235566,1000,2226622464,3879927808,CartpoleBalanceBenchmark-v1,rgb,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,80.0,80.0
2.9159483909606934,21948.262252650657,342.9415976976665,1000,2255634432,4169596928,2.95119047164917,21686.16380908679,338.8463095169811,1000,2257993728,4167434240,CartpoleBalanceBenchmark-v1,rgb,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,160.0,160.0
3.5820415019989014,17866.90633380038,279.17041146563093,1000,2305785856,4262854656,3.505557060241699,18256.727504411912,285.26136725643613,1000,2308145152,4295229440,CartpoleBalanceBenchmark-v1,rgb,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,224.0,224.0
4.007500171661377,15970.055460650852,249.5321165726696,1000,2350821376,4292935680,3.8329153060913086,16697.473043114347,260.8980162986617,1000,2353180672,4338679808,CartpoleBalanceBenchmark-v1,rgb,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,256.0,256.0
6.320212841033936,10126.241253218635,158.2225195815412,1000,2529128448,4809818112,6.273030042648315,10202.406104368154,159.4125953807524,1000,2531291136,4832624640,CartpoleBalanceBenchmark-v1,rgb,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,512.0,512.0
4.187138319015503,30569.80454137371,238.8265979794821,1000,2440646656,4629594112,4.186499357223511,30574.47023827795,238.8630487365465,1000,2440843264,4622778368,CartpoleBalanceBenchmark-v1,rgb,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,80.0,80.0
4.900959730148315,26117.33355257061,204.0416683794579,1000,2516611072,5011341312,4.902184009552002,26110.81096723205,203.9907106815004,1000,2516807680,5025431552,CartpoleBalanceBenchmark-v1,rgb,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,160.0,160.0
5.569873332977295,22980.773950846644,179.5372964909894,1000,2611617792,5088870400,5.5688316822052,22985.07250794,179.57087896828125,1000,2611814400,5094637568,CartpoleBalanceBenchmark-v1,rgb,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,224.0,224.0
5.964139223098755,21461.60497130309,167.6687888383054,1000,2653749248,5055315968,6.386075019836426,20043.610449674707,156.59070663808365,1000,2653749248,5108596736,CartpoleBalanceBenchmark-v1,rgb,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,256.0,256.0
11.941834211349487,10718.621422356471,83.73922986215993,1000,3037478912,6214320128,11.931759119033812,10727.67214985186,83.80993867071766,1000,3037675520,6409748480,CartpoleBalanceBenchmark-v1,rgb,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,512.0,512.0
7.738033771514893,33083.3397163996,129.23179576718593,1000,2877276160,6021971968,7.793290376663208,32848.7695988571,128.31550624553554,1000,2877472768,6023413760,CartpoleBalanceBenchmark-v1,rgb,256,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,80.0,80.0
